micro_number	band	ubox	unit	nest	year	uby	color	challenge	full_treatment	cap_doy	cap_num	age	sample_or_control	quant_reading
M18N001	263113706	2_122	2	122	2018	2_122_2018	Dull	Stress	Dull_Stress	138	1	ASY	sample	3.1
M18N002	272106733	2_68	2	68	2018	2_68_2018	Control	Stress	Control_Stress	140	1	SY	sample	11.3
M18N003	272107739	2_109	2	109	2018	2_109_2018	Control	Predator	Control_Predator	140	1	ASY	sample	6.6
M18N004	272108041	2_124	2	124	2018	2_124_2018	Dull	Control	Dull_Control	140	1	ASY	sample	8.0
M18N005	272107016	2_105	2	105	2018	2_105_2018	Dull	Predator	Dull_Predator	141	1	ASY	sample	10.1
M18N006	272106635	2_22	2	22	2018	2_22_2018	Control	Control	Control_Control	141	1	SY	sample	11.2
M18N007	272107749	2_67	2	67	2018	2_67_2018	Dull	Stress	Dull_Stress	142	1	ASY	sample	2.5
M18N008	272107801	2_51	2	51	2018	2_51_2018	Control	Predator	Control_Predator	142	1	SY	sample	11.3
M18N009	272107802	1_32	1	32	2018	1_32_2018	Dull	Stress	Dull_Stress	142	1	SY	sample	0.8
M18N010	272106906	2_49	2	49	2018	2_49_2018	Dull	Control	Dull_Control	143	1	SY	sample	0.9
M18N011	272107806	2_38	2	38	2018	2_38_2018	Control	Control	Control_Control	143	1	SY	sample	1.3
M18N012	272106904	2_80	2	80	2018	2_80_2018	Dull	Predator	Dull_Predator	143	1	SY	sample	12.4
M18N013	272106907	2_86	2	86	2018	2_86_2018	Control	Predator	Control_Predator	143	1	ASY	sample	2.2
M18N014	272107748	2_12	2	12	2018	2_12_2018	Control	Control	Control_Control	143	1	ASY	sample	6.2
M18N015	88004754	2_21	2	21	2018	2_21_2018	Dull	Predator	Dull_Predator	143	1	ASY	sample	12.4
M18N016	272107805	2_34	2	34	2018	2_34_2018	Dull	Control	Dull_Control	143	1	ASY	sample	11.1
M18N017	272106901	2_6	2	6	2018	2_6_2018	Control	Stress	Control_Stress	143	1	SY	sample	10.2
M18N018	272106905	2_14	2	14	2018	2_14_2018	Dull	Predator	Dull_Predator	143	1	SY	sample	10.7
M18N019	272106902	2_8	2	8	2018	2_8_2018	Dull	Control	Dull_Control	143	1	SY	sample	14.3
M18N020	272106903	2_112	2	112	2018	2_112_2018	Dull	Stress	Dull_Stress	143	1	SY	sample	1.4
M18N021	272107803	2_96	2	96	2018	2_96_2018	Control	Control	Control_Control	143	1	SY	sample	2.1
M18N022	232146953	1_81	1	81	2018	1_81_2018	Dull	Control	Dull_Control	143	1	ASY	sample	3.2
M18N023	240134898	4_61	4	61	2018	4_61_2018	Control	Stress	Control_Stress	143	1	ASY	sample	4.3
M18N024	272107219	4_62	4	62	2018	4_62_2018	Dull	Predator	Dull_Predator	144	1	ASY	sample	1.0
M18N025	272107764	4_63	4	63	2018	4_63_2018	Control	Stress	Control_Stress	144	1	ASY	sample	13.3
M18N026	272107298	4_72	4	72	2018	4_72_2018	Dull	Stress	Dull_Stress	144	1	ASY	sample	2.4
M18N027	272107599	4_80	4	80	2018	4_80_2018	Control	Control	Control_Control	144	1	ASY	sample	10.6
M18N028	272107808	1_69	1	69	2018	1_69_2018	Dull	Stress	Dull_Stress	144	1	SY	sample	10.5
M18N030	262125490	1_77	1	77	2018	1_77_2018	Control	Stress	Control_Stress	144	1	ASY	sample	0.8
M18N031	272107809	1_91	1	91	2018	1_91_2018	Control	Predator	Control_Predator	144	1	SY	sample	19.2
M18N032	272107161	2_95	2	95	2018	2_95_2018	Dull	Control	Dull_Control	144	1	SY	sample	12.3
M18N033	272107217	2_114	2	114	2018	2_114_2018	Dull	Predator	Dull_Predator	144	1	ASY	sample	5.8
M18N034	272107804	2_32	2	32	2018	2_32_2018	Control	Predator	Control_Predator	144	1	ASY	sample	2.7
M18N035	272106908	2_103	2	103	2018	2_103_2018	Control	Stress	Control_Stress	144	1	SY	sample	11.0
M18N036	272107807	2_2	2	2	2018	2_2_2018	Control	Control	Control_Control	144	1	SY	sample	6.6
M18N038	272106817	2_18	2	18	2018	2_18_2018	Control	Stress	Control_Stress	145	1	SY	sample	1.9
M18N039	272106613	2_30	2	30	2018	2_30_2018	Control	Predator	Control_Predator	145	1	SY	sample	3.0
M18N040	272107750	1_121	1	121	2018	1_121_2018	Dull	Predator	Dull_Predator	145	1	ASY	sample	16.0
M18N041	272107297	2_27	2	27	2018	2_27_2018	Dull	Predator	Dull_Predator	146	1	SY	sample	6.8
M18N042	272107112	2_121	2	121	2018	2_121_2018	Control	Predator	Control_Predator	146	1	SY	sample	1.5
M18N043	272107153	1_17	1	17	2018	1_17_2018	Control	Predator	Control_Predator	146	1	SY	sample	2.1
M18N044	272106711	1_85	1	85	2018	1_85_2018	Control	Control	Control_Control	146	1	ASY	sample	13.1
M18N045	272107811	2_102	2	102	2018	2_102_2018	Control	Control	Control_Control	147	1	ASY	sample	3.4
